Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
chevrolet equinox,238192,0.08952022,Positive,0,,,,,,,,2013,,,,,
chevrolet hhr,3,-0.857142857,Negative,chevrolet hhr,Identity Thief,2006 chevrolet hhr,1,chevrolet hhr,19,"$134,506,920 ",Universal Pictures,2013,0,2,2,19,1
chevrolet impala,156797,-0.074130061,Negative,chevrolet impala,The Heat,2010 chevrolet impala,3,chevrolet impala,15,"$159,582,188 ",Twentieth Century Fox,2013,4,22,26,15,3
chevrolet malibu,200594,-0.04909671,Negative,chevrolet malibu,Now You See Me,2010 chevrolet malibu,3,chevrolet malibu,23,"$117,723,989 ",Lionsgate,2013,1,6,7,23,3
chevrolet silverado,480414,0.148458567,Positive,chevrolet silverado,The Hangover Part III,2001 chevrolet silverado,1,chevrolet silverado,26,"$112,200,072 ",Warner Bros.,2013,0,3,3,26,1
chevrolet sonic,85646,0.054143538,Positive,chevrolet sonic,The Call,2012 chevrolet sonic,2,chevrolet sonic,68,"$51,872,378 ",TriStar Pictures,2013,0,1,1,68,2
chevrolet spark,34130,1.755752927,Positive,0,,,,,,,,2013,,,,,
chevrolet suburban,51260,0.06534209,Positive,chevrolet suburban,White House Down,2007 chevrolet suburban,3,chevrolet suburban,47,"$73,103,784 ",Sony Pictures Entertainment (SPE),2013,1,14,15,47,3
chevrolet tahoe,83502,0.211859979,Positive,chevrolet tahoe,Kick-Ass 2,2007 chevrolet tahoe,3,chevrolet tahoe,97,"$28,795,985 ",Universal Pictures,2013,1,9,10,97,3
chevrolet traverse,96467,0.126871948,Positive,chevrolet traverse,Turbo,2013 chevrolet traverse,2,chevrolet traverse,43,"$83,028,128 ",Twentieth Century Fox,2013,0,4,4,43,2
chevrolet volt,23094,-0.015642982,Negative,0,,,,,,,,2013,,,,,
chrysler 200,122480,-0.023877076,Negative,chrysler 200,White House Down,2011 chrysler 200,3,chrysler 200,47,"$73,103,784 ",Sony Pictures Entertainment (SPE),2013,2,7,9,47,3
chrysler 300,57724,-0.184078477,Negative,chrysler 300,2 Guns,2012 chrysler 300,3,chrysler 300,45,"$75,612,460 ",Universal Pictures,2013,1,3,4,45,3
chrysler town & country,122288,0.094358534,Positive,chrysler town & country,The Hangover Part III,2008 chrysler town & country,4,chrysler town & country,26,"$112,200,072 ",Warner Bros.,2013,1,4,5,26,4
dodge avenger,93842,-0.031458355,Negative,dodge avenger,Man of Steel,1995 dodge avenger,1,dodge avenger,4,"$291,045,518 ",Warner Bros.,2013,0,3,3,4,1
dodge caliber,45,-0.99557783,Negative,dodge caliber,The Best Man Holiday,2007 dodge caliber,1,dodge caliber,51,"$70,313,550 ",Universal Pictures,2013,0,1,1,51,1
dodge challenger,51462,0.19348779,Positive,dodge challenger,2 Guns,1970 dodge challenger,4,dodge challenger,45,"$75,612,460 ",Universal Pictures,2013,3,0,3,45,4
