Rank,Vehicle,2016,2015,% Change,Dec. 2016,Dec. 2015,% Change.1
#313,Subaru -Brand,615132,582675,5.6%,63177,56274,12.3%
#314,GMC -Brand,546628,558697,-2.2%,63415,59941,5.8%
#315,Ram -Brand,545851,491170,11.1%,53597,48616,10.2%
#316,Dodge -Brand,506858,527295,-3.9%,36329,46210,-21.4%
#317,Mercedes-Benz -Brand,374541,372977,0.4%,35871,38249,-6.2%
#318,Lexus -Brand,331228,344601,-3.9%,41182,41380,-0.5%
#319,Volkswagen -Brand,322948,349440,-7.6%,37229,30956,20.3%
#320,BMW -Brand,313174,346023,-9.5%,32835,34625,-5.2%
#321,Mazda -Brand,297773,319183,-6.7%,28754,29294,-1.8%
#322,Chrysler -Brand,231972,317923,-27.0%,16776,24554,-31.7%
#323,Buick -Brand,229631,223055,2.9%,21288,20708,2.8%
#324,Audi -Brand,210213,202202,4.0%,23195,20399,13.7%
#325,Cadillac -Brand,170006,175267,-3.0%,21446,20787,3.2%
#326,Acura -Brand,161360,177165,-8.9%,17148,16823,1.9%
#327,Infiniti -Brand,138293,133498,3.6%,18198,15093,20.6%
#328,Lincoln -Brand,111724,101227,10.4%,12791,10860,17.8%
#329,Mitsubishi -Brand,96267,95342,1.0%,7383,7887,-6.4%
#330,Volvo -Brand,82724,70047,18.1%,10129,9341,8.4%
#331,Land Rover -Brand,73861,70582,4.6%,8279,8441,-1.9%
#332,Porsche -Brand,54280,51756,4.9%,4015,3936,2.0%
#333,Mini -Brand,52030,58514,-11.1%,4658,5009,-7.0%
#334,Tesla -Brand †,47184,25410,85.7%,7550,3677,105%
#335,Fiat -Brand,32742,42922,-23.7%,2606,5619,-53.6%
#336,Jaguar -Brand,31243,14466,116%,4294,1197,259%
#337,Maserati -Brand,12534,11693,7.2%,1694,1069,58.5%
#338,Scion -Brand,12028,32958,-63.5%,102,1872,-94.6%
#339,Genesis -Brand,6948,—,—,1733,—,—
#340,Smart -Brand,6211,7484,-17.0%,1186,669,77.3%
#341,Bentley -Brand,2581,2686,-3.9%,407,581,-29.9%
#342,Ferrari -Brand,2398,2258,6.2%,257,259,-0.8%
#343,Lamborghini -Brand,1041,1009,3.2%,99,79,25.3%
#344,Rolls-Royce -Brand,921,840,9.6%,97,65,49.2%
#345,Alfa Romeo -Brand,516,659,-21.7%,52,56,-7.1%
#346,GENERAL MOTORS,3042775,3082366,-1.3%,319108,290230,10.0%
#347,FORD MOTOR COMPANY,2599211,2603082,-0.1%,237785,237606,0.1%
#348,TOYOTA MOTOR CORP.,2449630,2499319,-2.0%,243229,238352,2.0%
#349,FIAT CHRYSLER AUTOMOBILES,2259247,2266828,-0.3%,194470,215251,-9.7%
#350,AMERICAN HONDA,1637942,1586551,3.2%,160477,150893,6.4%
#351,NISSAN MOTOR COMPANY,1564423,1484918,5.4%,152743,139300,9.7%
#352,HYUNDAI-KIA AUTOMOTIVE GROUP,1422603,1387528,2.5%,116658,117749,-0.9%
#353,VOLKSWAGEN GROUP,591063,607093,-2.6%,64945,55951,16.1%
#354,DAIMLER AG,380752,380461,0.1%,37057,38918,-4.8%
#355,BMW GROUP,366125,405377,-9.7%,37590,39699,-5.3%
#356,JAGUAR-LAND ROVER,105104,85048,23.6%,12573,9638,30.5%
—,Overall Market °,17557955,17481235,0.4%,1693628,1640060,3.3%
—,—,—,—,—,—,—,—
—,Pickup Trucks,2692540,2543595,5.9%,263729,263003,2.6%
—,Minivans,553506,520698,6.3%,41637,50867,-18.1%
—,Commercial Vans,463487,421455,10.0%,48486,47748,1.5%
—,"Passenger Cars, SUVs, Crossovers",13848422,13995487,-1.1%,1333776,1278442,4.3%
—,—,—,—,—,—,—,—
