Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Unhinged,Unhinged,2020,R,21 Aug 2020,90 min,"Action, Thriller",Derrick Borte,"Russell Crowe, Caren Pistorius, Gabriel Bateman, Jimmi Simpson","USA, UK",1 nomination.,40/100,40,6.0,"37,476",tt10059518,2020
The Photograph,The Photograph,2020,PG-13,14 Feb 2020,106 min,"Drama, Romance",Stella Meghie,"Issa Rae, LaKeith Stanfield, Chanté Adams, Y'lan Noel","USA, China",3 nominations.,62/100,62,6.0,"4,036",tt7798646,2020
The War with Grandpa,The War with Grandpa,2020,PG,09 Oct 2020,94 min,"Comedy, Drama, Family",Tim Hill,"Robert De Niro, Uma Thurman, Rob Riggle, Oakes Fegley","USA, UK, Canada",1 win.,30%,34,5.6,"12,230",tt4532038,2020
Underwater,Underwater,2020,PG-13,10 Jan 2020,95 min,"Action, Horror, Sci-Fi, Thriller",William Eubank,"Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller",USA,1 win & 3 nominations.,48/100,48,5.8,"64,980",tt5774060,2020
Wonder Woman 1984,Wonder Woman 1984,2020,PG-13,25 Dec 2020,151 min,"Action, Adventure, Fantasy",Patty Jenkins,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal","USA, UK, Spain",5 wins & 32 nominations.,59%,60,5.4,"170,592",tt7126948,2020
The Turning,The Turning,2020,PG-13,24 Jan 2020,94 min,"Drama, Horror, Mystery",Floria Sigismondi,"Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, Barbara Marten","UK, Ireland, India, Canada, USA",N/A,13%,35,3.8,"9,988",tt7510346,2020
Gretel & Hansel,Gretel,2010,N/A,N/A,12 min,"Short, Fantasy",Taylor Trikilis,"Lloyd Johnson, Stephanie Jones, Derrel Maury",USA,1 win.,NaN,N/A,N/A,N/A,tt1381584,2020
Honest Thief,Honest Thief,2020,PG-13,16 Oct 2020,99 min,"Action, Crime, Drama, Thriller",Mark Williams,"Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan",USA,1 nomination.,46/100,46,6.0,"26,440",tt1838556,2020
My Hero Academia: Heroes Rising,My Hero Academia: Heroes Rising,2019,PG-13,26 Feb 2020,104 min,"Animation, Action, Adventure, Comedy, Sci-Fi",Kenji Nagasaki,"Daiki Yamashita, Nobuhiko Okamoto, Yuka Terasaki, Tomoyo Kurosawa",Japan,N/A,70/100,70,7.9,"3,979",tt11107074,2020
Bombshell,Bombshell,2019,R,20 Dec 2019,109 min,"Biography, Drama",Jay Roach,"Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow","Canada, USA",Won 1 Oscar. Another 24 wins & 59 nominations.,64/100,64,6.8,"93,603",tt6394270,2020
The Way Back,The Way Back,2010,PG-13,21 Jan 2011,133 min,"Adventure, Drama, History",Peter Weir,"Dragos Bucur, Colin Farrell, Ed Harris, Alexandru Potocean","USA, United Arab Emirates, Poland, India",Nominated for 1 Oscar. Another 4 wins & 4 nominations.,74%,66,7.3,"111,128",tt1023114,2020
Brahms: The Boy II,Brahms: The Boy II,2020,PG-13,21 Feb 2020,86 min,"Drama, Horror, Mystery, Thriller",William Brent Bell,"Katie Holmes, Christopher Convery, Owain Yeoman, Ralph Ineson","USA, China, Canada, Australia",1 nomination.,10%,29,4.6,"12,483",tt9173418,2020
